cluster,total_points,city_name,poi_type_知识科普型,holiday_暑假,holiday_春季学期,holiday_寒假,top1_subtype,top1_ratio,top1_nametype,top1_name,holiday_秋季学期,top2_subtype,top2_ratio,top3_subtype,top3_ratio,top2_nametype,top2_name,top3_nametype,top3_name,top4_nametype,top4_name,top5_nametype,top5_name,poi_type_励志拓展型,poi_type_体验考察型,holiday_五一假期
0,6,上海,1.0,0.5,0.3333333333333333,0.16666666666666666,科技馆,1.0,上海科技馆,6,,,,,,,,,,,,,,,,
1,20,北京,1.0,0.2,0.15,0.45,博物馆,0.65,中国科学技术馆,6,0.2,科技馆,0.3,植物园,0.05,中国地质博物馆,5.0,故宫博物院,5.0,周口店北京人遗址博物馆,2.0,南宫五洲植物乐园,1.0,,,
2,5,成都,1.0,0.4,0.2,,博物馆,0.8,杜甫草堂,2,0.4,科技馆,0.2,,,四川科技馆,1.0,成都自然博物馆,1.0,武侯祠,1.0,,,,,
3,3,太原,1.0,0.3333333333333333,,0.3333333333333333,博物馆,1.0,乔家大院,1,0.3333333333333333,,,,,太原北齐壁画博物馆,1.0,晋祠博物馆,1.0,,,,,,,
4,8,广州,0.875,0.25,0.375,0.375,科技馆,0.75,广东科学中心,6,,大学,0.125,博物馆,0.125,中山大学(广州校区南校园),1.0,南越王博物院(王墓展区),1.0,,,,,0.125,,
5,7,南京,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.14285714285714285,博物馆,0.8571428571428571,六朝博物馆,3,0.14285714285714285,研学,0.14285714285714285,,,中国科举博物馆(江南贡院),1.0,南京博物院,1.0,猫咪博物馆(弘阳广场店),1.0,紫金山天文台,1.0,,0.14285714285714285,
6,3,新密,1.0,,,0.6666666666666666,动物园,0.6666666666666666,郑州银基动物王国,2,0.3333333333333333,博物馆,0.3333333333333333,,,河南博物院,1.0,,,,,,,,,
7,3,宁波,1.0,0.6666666666666666,,0.3333333333333333,博物馆,0.6666666666666666,天一阁博物院,2,,科技馆,0.3333333333333333,,,宁波科学探索中心,1.0,,,,,,,,,
8,4,厦门,0.75,0.25,,0.25,科技馆,0.75,厦门科技馆,3,0.5,大学,0.25,,,厦门大学(思明校区),1.0,,,,,,,0.25,,
9,3,沈阳,1.0,,0.3333333333333333,0.6666666666666666,博物馆,1.0,辽宁省博物馆,2,,,,,,沈阳故宫,1.0,,,,,,,,,
10,17,西安,1.0,0.5294117647058824,0.11764705882352941,0.11764705882352941,博物馆,1.0,西安半坡博物馆,5,0.17647058823529413,,,,,秦始皇帝陵博物院(兵马俑),4.0,陕西自然博物馆,3.0,西安碑林博物馆,2.0,大唐西市博物馆,1.0,,,0.058823529411764705
