cluster,total_points,city_name,poi_type_知识科普型,poi_type_励志拓展型,poi_type_文化康乐型,holiday_春季学期,holiday_秋季学期,holiday_暑假,holiday_寒假,holiday_五一假期,holiday_十一假期,top1_subtype,top1_ratio,top2_subtype,top2_ratio,top3_subtype,top3_ratio,top4_subtype,top4_ratio,top5_subtype,top5_ratio,top1_nametype,top1_name,top2_nametype,top2_name,top3_nametype,top3_name,top4_nametype,top4_name,top5_nametype,top5_name,poi_type_体验考察型,poi_type_自然观赏型
0,60,上海,0.7333333333333333,0.23333333333333334,0.03333333333333333,0.31666666666666665,0.2833333333333333,0.2,0.13333333333333333,0.03333333333333333,0.03333333333333333,博物馆,0.3,科技馆,0.25,大学,0.23333333333333334,动物园,0.15,影视城,0.03333333333333333,上海科技馆,13,上海自然博物馆,7,华东政法大学(长宁校区),7,上海动物园,4,上海博物馆,4,,
1,39,北京,0.8461538461538461,0.15384615384615385,,0.3333333333333333,0.20512820512820512,0.23076923076923078,0.07692307692307693,0.05128205128205128,0.10256410256410256,博物馆,0.5128205128205128,大学,0.15384615384615385,科技馆,0.15384615384615385,动物园,0.1282051282051282,植物园,0.05128205128205128,中国地质博物馆,5,中国科学技术馆,4,故宫博物院,4,北京动物园,3,国家自然博物馆,3,,
2,57,成都,0.9122807017543859,0.08771929824561403,,0.2631578947368421,0.22807017543859648,0.2807017543859649,0.19298245614035087,0.03508771929824561,,博物馆,0.5964912280701754,动物园,0.21052631578947367,科技馆,0.10526315789473684,大学,0.08771929824561403,,,海合安成都极地海洋公园,10,成都自然博物馆,6,杜甫草堂,6,武侯祠,6,三星堆博物馆,5,,
3,10,青岛,1.0,,,0.2,0.2,0.4,,,0.2,博物馆,0.9,科技馆,0.1,,,,,,,青岛贝壳博物馆,4,青岛啤酒博物馆,2,德国监狱旧址博物馆,1,海信探索中心,1,青岛德国总督楼旧址博物馆,1,,
4,10,太原,1.0,,,0.4,,0.3,,0.2,0.1,博物馆,0.6,动物园,0.2,植物园,0.2,,,,,乔家大院,3,太原动物园,2,太原植物园,2,中国煤炭博物馆,1,山西博物院,1,,
5,27,广州,0.5925925925925926,0.37037037037037035,0.037037037037037035,0.25925925925925924,0.2962962962962963,0.18518518518518517,0.25925925925925924,,,大学,0.37037037037037035,动物园,0.25925925925925924,科技馆,0.14814814814814814,博物馆,0.14814814814814814,植物园,0.037037037037037035,长隆野生动物世界,6,中山大学(广州校区南校园),5,广东科学中心,4,电子科技大学中山学院,3,广州大学城,2,,
6,29,南京,0.7931034482758621,0.1724137931034483,,0.3793103448275862,0.20689655172413793,0.1724137931034483,0.13793103448275862,0.10344827586206896,,博物馆,0.3448275862068966,动物园,0.3103448275862069,大学,0.1724137931034483,植物园,0.06896551724137931,工业遗产,0.06896551724137931,红山森林动物园,9,南京大学(鼓楼校区),5,南京市博物馆(朝天宫),3,太平天国历史博物馆(瞻园),3,中国科举博物馆(江南贡院),2,0.034482758620689655,
7,25,苏州,0.36,0.48,0.16,0.2,0.48,0.2,0.04,0.08,,大学,0.48,动物园,0.24,影视城,0.16,历史文化遗产,0.04,博物馆,0.04,苏州大学(天赐庄校区),12,江苏淹城野生动物世界,6,海合安苏州阳澄半岛乐园,4,清名桥古运河景区,1,苏州博物馆西馆,1,,
8,21,杭州,0.38095238095238093,0.6190476190476191,,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.047619047619047616,大学,0.6190476190476191,动物园,0.23809523809523808,博物馆,0.14285714285714285,,,,,下沙大学生夜市,8,杭州野生动物世界,4,浙江大学(之江校区),2,浙江大学(玉泉校区),2,中国丝绸博物馆,1,,
9,67,武汉,0.4925373134328358,0.47761194029850745,,0.4626865671641791,0.23880597014925373,0.16417910447761194,0.07462686567164178,0.014925373134328358,0.04477611940298507,大学,0.47761194029850745,博物馆,0.44776119402985076,动物园,0.04477611940298507,生态景区,0.029850746268656716,,,武汉大学,31,海合安武汉极地海洋公园,24,中国地质大学-逸夫博物馆,3,东湖生态旅游风景区,2,武汉动物园,2,,0.029850746268656716
10,78,厦门,0.16666666666666666,0.8333333333333334,,0.41025641025641024,0.19230769230769232,0.24358974358974358,0.08974358974358974,0.01282051282051282,0.05128205128205128,大学,0.8333333333333334,科技馆,0.08974358974358974,植物园,0.07692307692307693,,,,,厦门大学(思明校区),63,厦门园林植物园,6,厦门科技馆,6,厦门大学-芙蓉湖,1,大学生创新创业基地,1,,
11,22,沈阳,0.9545454545454546,0.045454545454545456,,0.18181818181818182,0.13636363636363635,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.18181818181818182,博物馆,0.8181818181818182,植物园,0.13636363636363635,大学,0.045454545454545456,,,,,张学良旧居,7,沈阳故宫,4,沈阳世博园,3,沈阳理工大学-兵器博物馆,2,辽宁省博物馆,2,,
12,29,西安,0.9655172413793104,0.034482758620689655,,0.3793103448275862,0.1724137931034483,0.2413793103448276,0.13793103448275862,0.034482758620689655,0.034482758620689655,博物馆,0.7241379310344828,动物园,0.20689655172413793,科技馆,0.034482758620689655,大学,0.034482758620689655,,,秦始皇帝陵博物院(兵马俑),7,西安秦岭野生动物园,6,陕西历史博物馆,5,西安博物院,2,大唐西市博物馆,1,,
